Year,Length,CPI Annual Rate %,CPI Index
1990 OCT,8,8.1,57.4
1990 NOV,8,7.8,57.5
1990 DEC,8,7.6,57.5
1991 JAN,8,7.1,57.4
1991 FEB,8,7,57.7
1991 MAR,8,6.9,57.9
1991 APR,8,8.4,59.9
1991 MAY,8,8.2,60.3
1991 JUN,8,8.4,60.6
1991 JUL,8,8.3,60.5
1991 AUG,8,7.9,60.9
1991 SEP,8,7.1,61.1
1991 OCT,8,6.8,61.3
1991 NOV,8,7.1,61.5
1991 DEC,8,7.2,61.6
1992 JAN,8,7,61.4
1992 FEB,8,6.9,61.7
1992 MAR,8,7.1,62
1992 APR,8,4.7,62.7
1992 MAY,8,4.3,62.9
1992 JUN,8,3.8,62.9
1992 JUL,8,3.6,62.6
1992 AUG,8,3,62.7
1992 SEP,8,3,62.9
1992 OCT,8,2.9,63.1
1992 NOV,8,2.6,63.1
1992 DEC,8,2.6,63.2
1993 JAN,8,2.2,62.8
1993 FEB,8,2.4,63.2
1993 MAR,8,2.5,63.6
1993 APR,8,2.5,64.3
1993 MAY,8,2.5,64.5
1993 JUN,8,2.4,64.5
1993 JUL,8,2.6,64.2
1993 AUG,8,2.9,64.5
1993 SEP,8,3.1,64.8
1993 OCT,8,2.6,64.7
1993 NOV,8,2.3,64.6
1993 DEC,8,2.4,64.7
1994 JAN,8,2.7,64.5
1994 FEB,8,2.5,64.8
1994 MAR,8,2.2,65
1994 APR,8,2,65.5
1994 MAY,8,2,65.8
1994 JUN,8,2,65.8
1994 JUL,8,1.7,65.4
1994 AUG,8,1.9,65.7
1994 SEP,8,1.5,65.8
1994 OCT,8,1.5,65.7
1994 NOV,8,1.8,65.7
1994 DEC,8,2,66
1995 JAN,8,2.4,66
1995 FEB,8,2.4,66.3
1995 MAR,8,2.6,66.7
1995 APR,8,2.3,67
1995 MAY,8,2.5,67.4
1995 JUN,8,2.6,67.4
1995 JUL,8,2.7,67.1
1995 AUG,8,2.6,67.4
1995 SEP,8,3,67.7
1995 OCT,8,2.9,67.6
1995 NOV,8,2.8,67.6
1995 DEC,8,3,68
1996 JAN,8,2.6,67.8
1996 FEB,8,2.7,68.1
1996 MAR,8,2.6,68.4
1996 APR,8,2.5,68.7
1996 MAY,8,2.3,68.9
1996 JUN,8,2.3,69
1996 JUL,8,2.2,68.6
1996 AUG,8,2.3,68.9
1996 SEP,8,2.3,69.3
1996 OCT,8,2.5,69.3
1996 NOV,8,2.6,69.3
